排序,商品名称,别名,商品ID,链接,登记日期,活动状态,活动ID,活动名称,活动类型,系统推送时间
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,审核中,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
2,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G,244055989700,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,2025-10-08,审核中,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,审核中,22180,百亿加倍补-电器大爆款报名,百亿补贴,无
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,审核中,22181,百亿加倍补-电器非爆款报名,百亿补贴,无
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,审核中,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,审核中,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
5,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,即热1000G,364990106384,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,2025-10-08,审核中,22148,百亿补贴-百亿加倍补-特定商品报名链接,百亿补贴,无
6,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,小海豚600G+,205458105137,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,2025-10-08,审核中,17987,【精选首页】补贴秒杀品牌商品,补贴秒杀,无
7,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G（新）,309517106373,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,2025-10-08,审核中,无,无报名记录,无,无
8,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,小海豚2 1000G（新1）,832355139965,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,2025-10-08,审核中,10441,百亿补贴报名入口,百亿补贴,无
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,活动中,18425,百补商家自主降价链接,百亿补贴,2025-10-08 15:28:44
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,活动中,23365,月卡专享价—拼多多官方会员活动快速报名,月卡会员活动,2025-10-08 13:52:23
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,活动中,22496,广告商品-大促专属报名通道,大促搜索池,2025-10-08 11:10:42
1,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,小海豚600G+（新）,819506595979,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,2025-10-08,活动中,22473,百亿长期合资券品类活动报名链接（46）,百亿补贴,2025-10-08 09:06:02
